text,category
food relief center eka koheda?,food/water
family ekata dry food one.,food/water
safe drinking water one.,food/water
food packets distribute karanawada?,food/water
apit viyali ahara ewnn .,food/water
watura bonna puluwan ekak one.,food/water
baby milk saha food one.,food/water
rice tikak hari ewanna.,food/water
food supplies tikak one.,food/water
watura supply eka nawathila.,food/water
ape area ekt viyali ahara ewnn plwnd .,food/water
food and clean water help one.,food/water
ape gedara water ne.,food/water
ikmanata food saha watura one.,food/water
api gedara athule hira wela.,rescue/missing
rescue team ekak ewanna please.,rescue/missing
ape family eka stuck wela.,rescue/missing
kenek missing wela.,rescue/missing
ape nangi hoyaganna ba.,rescue/missing
rescue help urgently one.,rescue/missing
gedara athule aya innawa.,rescue/missing
boat ekak one me area ekata.,rescue/missing
ape thaththa missing.,rescue/missing
lamayek hoyaganna help ekk one.,rescue/missing
apit eliyata enna ba.,rescue/missing
rescue team eka me paththe enawada?,rescue/missing
flood water nisa stuck wela.,rescue/missing
family membersla dennek missing.,rescue/missing
ape putha hoyaganna one.,rescue/missing
gedara athule wayasaka kenek innawa.,rescue/missing
please rescue karanna.,rescue/missing
api roof eke inne.,rescue/missing
"watura godak wedi, rescue one.",rescue/missing
missing person kenek hoyanawa.,rescue/missing
ape amma hoy gnn ba.,rescue/missing
child kenek hoyaganna one.,rescue/missing
rescue boat ekak one.,rescue/missing
"api stuck wela, help karanna.",rescue/missing
family eka contact karanna ba.,rescue/missing
kenek watura gihin missing.,rescue/missing
rescue team ekak ikmanata one.,rescue/missing
ape gedara aya trapped wela.,rescue/missing
missing kenek gena information thiyenawada?,rescue/missing
api building eke hira wela inne.,rescue/missing
child kenek missing.,rescue/missing
elderly person kenek missing.,rescue/missing
please help us get out.,rescue/missing
ape family members trapped wela.,rescue/missing
rescue vehicle ekak one.,rescue/missing
flooded area eke stuck wela.,rescue/missing
gedara athule 5 denek innawa.,rescue/missing
kenek hoyaganna ba dan.,rescue/missing
rescue assistance one urgently.,rescue/missing
api upakara balaporoththu wenawa.,rescue/missing
missing person report karanna one.,rescue/missing
ape brother missing wela.,rescue/missing
lamaya school idala awe ne.,rescue/missing
api water athule hira wel .,rescue/missing
rescue boat ekak ewanna.,rescue/missing
gedara athule aya beragnn udau krnna .,rescue/missing
missing person kenek hoyanawa.,rescue/missing
api evacuate karanna one.,rescue/missing
flood eka nisa trapped wela.,rescue/missing
ape seeya missing.,rescue/missing
please send rescue team.,rescue/missing
family eka athule trapped.,rescue/missing
kenek waturat gahagen gihin.,rescue/missing
ape nangi thama awe na.,rescue/missing
rescue help denna puluwanda?,rescue/missing
api building roof eke inne.,rescue/missing
missing child kenek hoyanawa.,rescue/missing
me area eke rescue team ekak one.,rescue/missing
ikmanata help karanna please.,rescue/missing
ape family eka trapped wela inne.,rescue/missing
current eka ne me area eke.,other
electricity supply eka nathi wela.,other
ape phone charge karanna ba.,other
road eka block wela.,other
main road eka waturat yata wel.,other
transport help one.,other
phone signal ne.,other
network eka wada karanne ne.,other
generator ekak thiyenawada?,other
battery charge karaganna ba.,other
road eka break wela.,other
bridge eka damage wela.,other
me area ekata yanna puluwanda?,other
current eka ikmanata denna.,other
mobile signal hoyaganna ba.,other
phone battery low.,other
transport ekak one.,other
road eka open da?,other
gas cylinder eka na.,other
cooking karanna ba.,other
petrol hoyaganna ba.,other
fuel tikak one.,other
generator ekt fuel one.,other
ape vehicle eka stuck wela.,other
road clearance help one.,other
tree ekak road eka uda watila.,other
internet connection ne.,other
communication problem ekak thiyenawa.,other
phone charge karaganna place ekak one.,other
current eka thiyenne ne.,other
water pump eka wada ne.,other
house eka clean karanna help one.,other
watura ain karanna help one.,other
roads tika clean karanna one.,other
damaged house ekak repair karanna help one.,other
building eka inspect karanna one.,other
electricity wires watila.,other
me paththa dangerous da?,other
road condition eka dannawada?,other
bus service thiyenawada?,other
vehicle ekak aran yanna one.,other
fuel station open da?,other
phone network eka kawada enawada?,other
current wires walin ath wela inna.,other
tree tika ain karanna one.,other
road eka clear karanna help one.,other
communication center ekak thiyenawada?,other
charging station ekak one.,other
flashlight ekak one.,other
torch batteries one.,other
candles tikak one.,other
cooking gas one.,other
clothes tikak one.,other
baby clothes one.,other
blankets tikak one.,other
sanitary items one.,other
general supplies tikak one.,other
information ekak hoyaganna one.,other
me area eke situation eka kohomada?,other
please me thanata help ekak denna.,other
