text,category,source,text_si
thuwal una aya innava.,medical aid,synthetic,තුවාල උණ එයා ඉන්නවා.
gedaara watura purila.,shelter,synthetic,ගෙදර වතුර පිරිලා.
arakshithaa kandaurat ynna transport one.,shelter,synthetic,ආරක්ෂිත කඳුරට යන්න transport ඕනේ.
please medical theam ekak hoyala denna.,medical aid,synthetic,please medical theam එකක් හොයලා දෙන්න.
rescue boat ekak ewann.,rescue/missing,synthetic,rescue බෝට් එකක් ෙවන්න.
ambulance ecak ewanna pleasee.,medical aid,synthetic,ambulance ecak eවන්න pleasee.
food and clean water help on.,food/water,synthetic,food and clean water help on.
apit viyalii ahara ewnn .,food/water,synthetic,අපිට වියලී ආහාර එවන්න.
phone charge karaganna place ekak one.,other,original,phone charge කරගන්න place එකක් ඕනේ.
apit arakshita thankt yann one.,shelter,synthetic,අපිට ආරක්ෂිත තැනකට යන්න ඕනේ.
medical help urgenthly one.,medical aid,synthetic,medical help urgenthly one.
nighth eka innata place ne.,shelter,synthetic,නයිට් එක ඉන්නට place නෑ.
ambulance ekaak ewanna please.,medical aid,synthetic,ambulance එකක් එවන්න please.
cloothes tikak one.,other,synthetic,chloothes ටිකක් ඕනේ.
medhical eemergency ekak.,medical aid,synthetic,medhical eemergency එකක්.
road eeka brek wela.,other,synthetic,රෝඩ් ඒක බ්රැක් වෙලා.
apit kanna bonna dhewal ne.,food/water,synthetic,අපිට කන්න බොන්න දේවල් නෑ.
phonee battery low.,other,synthetic,Phonee battery low.
medical team ekak one me area ekata.,medical aid,original,medical team එකක් ඕනේ මේ area එකට.
kenek missing wela.,rescue/missing,original,කෙනෙක් මිස්සින්ගෙ වෙලා.
food relief center eka koheda?,food/water,original,food relief center එක කොහෙද?
safe building ekak hoyanna one.,shelter,original,safe building එකක් හොයන්න ඕනේ.
doctor cenek ikmanata one.,medical aid,synthetic,ඩොක්ටර් සීනේක් ඉක්මනට ඕනේ.
medicine nathii nisa amaru.,medical aid,synthetic,medicine නැති නිසා අමාරු.
shelter ekak open karalada?,shelter,synthetic,ෂෙල්ටර් එකක් open කරලද?
safe place ekak hoyala denna.,shelter,original,safe place එකක් හොයලා දෙන්න.
rescue teaam eka me paththe enawada?,rescue/missing,synthetic,rescue team එක මේ පැත්තේ එනවද?
please medical teeam ekak hoyal denna.,medical aid,synthetic,please medical ටීඑම් එකක් හොයල දෙන්න.
battry charge karaganna b.,other,synthetic,battry charge කරගන්න බැ.
baby ta mediciine one.,medical aid,synthetic,baby ට mediciine ඕනේ.
"rice, dhal saha watr oone.",food/water,synthetic,"රිසි, දළ සහ වතුර ඕනේ."
phone charge karaganna plce ekak one.,other,synthetic,Phone charge කරගන්න plce එකක් ඕනේ.
water supply eka ne.,food/water,original,water supply එක නෑ.
baby ta medicine on.,medical aid,synthetic,baby ta medicine on.
chiild kenek mssing.,rescue/missing,synthetic,චීල්ඩ් කෙනෙක් මස්සින්ගෙ.
safe building ekak one immediately.,shelter,synthetic,safe building එකක් one immediately.
main roadh eca waturat yata wel.,other,synthetic,මයින් රෝඩ් ඒක වතුරට යට වෙලා.
geedara atule aya innawa.,rescue/missing,synthetic,ගේදර ඇතුලේ අය ඉන්නවා.
eldherly person kenek missing.,rescue/missing,synthetic,eldherly person කෙනෙක් missing.
lamaya school idala aw ne.,rescue/missing,synthetic,ළමයා school ඉදලා ආව නේ.
food supplies tikak one.,food/water,synthetic,food supplies ටිකක් ඕනේ.
fod supplies one urgently.,food/water,synthetic,fod supplies one urgently.
beheth ganna phaarmacy ekata yanna ba.,medical aid,synthetic,බෙහෙත් ගන්න pharmacy එකට යන්න බැ.
phone kharge karaganna place ekak oone.,other,synthetic,Phone කොහර්ගේ කරගන්න place එකක් ඕනේ.
uurgently safe place ekk one.,shelter,synthetic,uurgently safe place එක්ක ඕනේ.
watura bttle tikaak one.,food/water,synthetic,වතුර බිට්ටලේ ටිකක් ඕනේ.
water pump eka wda ne.,other,synthetic,water pump එක වඩා නෑ.
medical support ekk one please.,medical aid,original,medical support එක්ක one please.
safe plaace ekak on please api yata wel.,shelter,synthetic,safe plaace එකක් on please අපි යට වෙලා.
current ek ikmanata dhenna.,other,synthetic,current එක ඉක්මනට දෙන්න.
eldeerly kenekta help one.,medical aid,synthetic,ඩොඩීර්ලයි කෙනෙක්ට help ඕනේ.
evacuation center ekata yanna one.,shelter,original,evacuation center එකට යන්න ඕනේ.
transport hlp oone.,other,synthetic,transport හොළපු ඕනේ.
apit arakshita thankt yanna one.,shelter,synthetic,අපිට ආරක්ෂිත තැනකට යන්න ඕනේ.
clean water one pleaase.,food/water,synthetic,clean water one playase.
missing person kenek hoyanawa.,rescue/missing,original,missing person කෙනෙක් හොයනවා.
medhicine tkak hoyaganna ba.,medical aid,synthetic,මැඩීකිනේ ටිකක් හොයාගන්න බැ.
coooking karanna ba.,other,synthetic,කෝකීං කරන්න බැ.
tree tika ain karanna oone.,other,synthetic,ට්රේ ටික අයින් කරන්න ඕනේ.
please rescue karanna.,rescue/missing,original,please rescue කරන්න.
food ekak arn enna puluwandha?,food/water,synthetic,ෆෝඩ් එකක් අරන් එන්න පුලුවන්ද?
rscue tem ekak ewanna please.,rescue/missing,synthetic,rscue them එකක් එවන්න please.
please medical team ekak hoyala denna.,medical aid,original,please medical team එකක් හොයලා දෙන්න.
safe shelter ekak thiyenawada?,shelter,original,සාෆේ ෂෙල්ටර් එකක් තියෙනවද?
ape puta hoyaganna one.,rescue/missing,synthetic,අපේ පුතා හොයාගන්න ඕනේ.
doctor kenek ikmanat one.,medical aid,synthetic,ඩොක්ටර් කෙනෙක් ඉක්මනට ඕනේ.
family ekata teemporary plaace one.,shelter,synthetic,family එකට teemporary plaace one.
sick patient cenek rescue karanna onee.,medical aid,synthetic,sick patient cenek rescue කරන්න ඕනේ.
me ara eke reskue team ekak one.,rescue/missing,synthetic,මේ අර එකේ රැස්කුවේ team එකක් ඕනේ.
missing childh kenek hoyanawa.,rescue/missing,synthetic,missing childh කෙනෙක් හොයනවා.
watura supply eka nawathila.,food/water,original,වතුර පොරොන්දු ඒක නැවතිලා.
pathient kenektha medicine ne.,medical aid,synthetic,පතීන්ට කෙනෙක්ට medicine නෑ.
communication center ekak thiyeenawada?,other,synthetic,communication center එකක් තියෙනවද?
lamaya school idala awe ne.,rescue/missing,synthetic,ළමයා school ඉදලා ආවේ නැ.
knek hoyaganna baa dan.,rescue/missing,synthetic,කෙනෙක් හොයාගන්න බෑ දැන්.
me aarea eke situation eca kohomada?,other,synthetic,මේ ආරේ එකේ situation eca කොහොමද?
gedara athule wayasaka kenek innawa.,rescue/missing,original,ගෙදර ඇතුලේ වයසක කෙනෙක් ඉන්නවා.
water supply eka nee.,food/water,synthetic,water supply එක නේ.
clean wter oone please.,food/water,synthetic,clean wter oone please.
water tank eeka damage wela.,food/water,synthetic,water tank ඒක damage වෙලා.
temporary shelter ekak on.,shelter,synthetic,temporary shelter එකක් ඕන.
ricee saha water one.,food/water,synthetic,රිසී සහ water ඕනේ.
electricity supply eeka nathi wela.,other,synthetic,electricity supply ඒක නැති වෙලා.
medicine tikak hoyaganna ba.,medical aid,original,medicine ටිකක් හොයාගන්න බැ.
baby cloths oone.,other,synthetic,baby clothhs ඕනේ.
main road eka waturat yata wel.,other,original,main road එක වතුරට යට වෙලා.
food one please.,food/water,original,food one please.
thuwal una aya innawaa.,medical aid,synthetic,තුවාල උණ එයා ඉන්නවා.
gedara aathule aya innava.,rescue/missing,synthetic,ගෙදර ඇතුලේ අය ඉන්නවා.
api daan shelter ecak hoyanawa.,shelter,synthetic,අපි දැන් ෂෙල්ටර් එකක හොයනවා.
please rescue karaanna.,rescue/missing,synthetic,please rescue කරන්න.
doctr kenek me paththata one.,medical aid,synthetic,ඩොක්ටර් කෙනෙක් මේ පැත්තට ඕනේ.
gedhara roof eka damage wela.,shelter,synthetic,ගෙදර රෝෆ් එක damage වෙලා.
blankets tikak one.,other,original,blankets ටිකක් ඕනේ.
wter supply eka n.,food/water,synthetic,wter supply එක නැ.
current eka ikmanata denna.,other,original,current එක ඉක්මනට දෙන්න.
ape house eka collapse wenna wage.,shelter,original,අපේ ගෙදර එක කොල්ලපස්සේ වෙන්න වගේ.
gedaara roof eka damage wela.,shelter,synthetic,ගෙදර රෝෆ් එක damage වෙලා.
elderly kenekta help one.,medical aid,synthetic,elderly කෙනෙක්ට help ඕනේ.
patient kenekta meedicine ne.,medical aid,synthetic,patient කෙනෙක්ට මේඩීකිනේ නෑ.
