text,category,source
Kenek missing wela.,rescue/missing,original
Ape nangi hoyaganna ba.,rescue/missing,original
Rescue help urgently one.,rescue/missing,original
Gedara athule aya innawa.,rescue/missing,original
Boat ekak one me area ekata.,rescue/missing,original
Ape thaththa missing.,rescue/missing,original
Lamayek hoyaganna help ekk  one.,rescue/missing,original
Apit  eliyata enna ba.,rescue/missing,original
Rescue team eka me paththe enawada?,rescue/missing,original
Flood water nisa stuck wela.,rescue/missing,original
Family membersla  dennek missing.,rescue/missing,original
Ape putha hoyaganna one.,rescue/missing,original
Gedara athule wayasaka kenek innawa.,rescue/missing,original
Please rescue karanna.,rescue/missing,original
Api roof eke inne.,rescue/missing,original
"Watura godak wedi, rescue one.",rescue/missing,original
Missing person kenek hoyanawa.,rescue/missing,original
Ape amma hoy gnn ba.,rescue/missing,original
Child kenek hoyaganna one.,rescue/missing,original
Rescue boat ekak one.,rescue/missing,original
"Api stuck wela, help karanna.",rescue/missing,original
Family eka contact karanna ba.,rescue/missing,original
Kenek watura gihin missing.,rescue/missing,original
Rescue team ekak ikmanata one.,rescue/missing,original
Ape gedara aya trapped wela.,rescue/missing,original
Missing kenek gena information thiyenawada?,rescue/missing,original
Api building eke hira wela inne.,rescue/missing,original
Child kenek missing.,rescue/missing,original
Elderly person kenek missing.,rescue/missing,original
Please help us get out.,rescue/missing,original
Ape family members trapped wela.,rescue/missing,original
Rescue vehicle ekak one.,rescue/missing,original
Flooded area eke stuck wela.,rescue/missing,original
Gedara athule 5 denek innawa.,rescue/missing,original
Kenek hoyaganna ba dan.,rescue/missing,original
Rescue assistance one urgently.,rescue/missing,original
Api upakara balaporoththu wenawa.,rescue/missing,original
Missing person report karanna one.,rescue/missing,original
Ape brother missing wela.,rescue/missing,original
Lamaya school idala awe ne.,rescue/missing,original
Api water athule hira wel .,rescue/missing,original
Rescue boat ekak ewanna.,rescue/missing,original
Gedara athule aya beragnn udau krnna .,rescue/missing,original
Missing person kenek hoyanawa.,rescue/missing,original
Api evacuate karanna one.,rescue/missing,original
Flood eka nisa trapped wela.,rescue/missing,original
Ape seeya missing.,rescue/missing,original
Please send rescue team.,rescue/missing,original
Family eka athule trapped.,rescue/missing,original
Kenek waturat gahagen gihin.,rescue/missing,original
Ape nangi thama awe na.,rescue/missing,original
Rescue help denna puluwanda?,rescue/missing,original
Api building roof eke inne.,rescue/missing,original
Missing child kenek hoyanawa.,rescue/missing,original
Me area eke rescue team ekak one.,rescue/missing,original
Ikmanata help  karanna please.,rescue/missing,original
Ape family eka trapped wela inne.,rescue/missing,original
Current eka ne me area eke.,other,original
Electricity supply eka nathi wela.,other,original
Ape phone charge karanna ba.,other,original
Road eka block wela.,other,original
Main road eka waturat yata wel.,other,original
Transport help one.,other,original
Phone signal ne.,other,original
Network eka wada karanne ne.,other,original
Generator ekak thiyenawada?,other,original
Battery charge karaganna ba.,other,original
Road eka break wela.,other,original
Bridge eka damage wela.,other,original
Me area ekata yanna puluwanda?,other,original
Current eka ikmanata denna.,other,original
Mobile signal hoyaganna ba.,other,original
Phone battery low.,other,original
Transport ekak one.,other,original
Road eka open da?,other,original
Gas cylinder eka na.,other,original
Cooking karanna ba.,other,original
Petrol hoyaganna ba.,other,original
Fuel tikak one.,other,original
Generator ekt fuel one.,other,original
Ape vehicle eka stuck wela.,other,original
Road clearance help one.,other,original
Tree ekak road eka uda watila.,other,original
Internet connection ne.,other,original
Communication problem ekak thiyenawa.,other,original
Phone charge karaganna place ekak one.,other,original
Current eka thiyenne ne.,other,original
Water pump eka wada ne.,other,original
House eka clean karanna help one.,other,original
Watura ain karanna help one.,other,original
Roads tika clean karanna one.,other,original
Damaged house ekak repair karanna help one.,other,original
Building eka inspect karanna one.,other,original
Electricity wires watila.,other,original
Me paththa dangerous da?,other,original
Road condition eka dannawada?,other,original
Bus service thiyenawada?,other,original
Vehicle ekak aran yanna one.,other,original
Fuel station open da?,other,original
Phone network eka kawada enawada?,other,original
Current wires walin ath wela inna.,other,original
Tree tika ain karanna one.,other,original
Road eka clear karanna help one.,other,original
Communication center ekak thiyenawada?,other,original
Charging station ekak one.,other,original
Flashlight ekak one.,other,original
Torch batteries one.,other,original
Candles tikak one.,other,original
Cooking gas one.,other,original
Clothes tikak one.,other,original
Baby clothes one.,other,original
Blankets tikak one.,other,original
Sanitary items one.,other,original
General supplies tikak one.,other,original
Information ekak hoyaganna one.,other,original
Me area eke situation eka kohomada?,other,original
Please me thanata help ekak denna.,other,original
Mge Ammaa ta amarui .ambulance ekk ewnn please.,medical aid,synthetic
Mge Amma ta amarui .ambulance ekk ewnn pleaase.,medical aid,synthetic
Mge Amma ta amarui .ambulanke ekk ewnn pleaase.,medical aid,synthetic
Mge Amma ta amarui .ambulance ekk ewnn pleas.,medical aid,synthetic
Ape lamayekta behet one.ikmnin ewnn pluwaand,medical aid,synthetic
Ape lamayekta beheth one.ikmnin ewnn pluwand,medical aid,synthetic
Ape lamayekta beeheth one.ikmnin evnn pluwand,medical aid,synthetic
Ape lamayektha beheth one.ikmnin ewnn pluwand,medical aid,synthetic
Medical teaam ekak ewanna puluwanda?,medical aid,synthetic
Medical theam ekak ewanna puluwnda?,medical aid,synthetic
Medical tem ekak ewanna puluwanda?,medical aid,synthetic
Medicaal tam ekak ewanna puluwanda?,medical aid,synthetic
Thuwala wla kenek innawa.,medical aid,synthetic
Thuwala wela kenek innava.,medical aid,synthetic
Thuwala vela kenek innawa.,medical aid,synthetic
Thuwala wela kenk iinnawa.,medical aid,synthetic
Doctoor cenek ikmanata one.,medical aid,synthetic
Doctor kenek ikmanat onee.,medical aid,synthetic
Dctor kenek ikmanatha one.,medical aid,synthetic
Doctor kenek ikmanat oone.,medical aid,synthetic
Ap seeya asaneepa wela inne.,medical aid,synthetic
Ape seeya asaneep wela inne.,medical aid,synthetic
Ape seeya asaneepa wela innee.,medical aid,synthetic
Ape seeya asaneepa wela inne.,medical aid,synthetic
Behet tikak one urgent.,medical aid,synthetic
Behet tikak one urgent.,medical aid,synthetic
Beheth tikak one urgenth.,medical aid,synthetic
Beeheth tikak one urgent.,medical aid,synthetic
"Loku thuuwalayak wela, help ekk one.",medical aid,synthetic
"Loku thuwalayk wela, help ekk one.",medical aid,synthetic
"Loku thuwalayak wela, help ekk one.",medical aid,synthetic
"Loku thuwalayak wel, help ekk oone.",medical aid,synthetic
"Patient kenek innawa, medical hlp one.",medical aid,synthetic
"Patient kenk iinnawa, medical help one.",medical aid,synthetic
"Patient kenek innwa, medical help onee.",medical aid,synthetic
"Patient kenek innawa, mdical help one.",medical aid,synthetic
Ambulance ekak ewnna please.,medical aid,synthetic
Ambulance ecak evanna please.,medical aid,synthetic
Ambulancee ekk ewanna please.,medical aid,synthetic
Ambulance ekak ewanna plase.,medical aid,synthetic
Lmayata fewer thiyenawa.,medical aid,synthetic
Lamayata fever tiyenawa.,medical aid,synthetic
Lamayatha feveer thiyenawa.,medical aid,synthetic
Lamayata fever tiyenawa.,medical aid,synthetic
Ape family ek kenekta medical help one.,medical aid,synthetic
Ape family ek kenekta medical heelp one.,medical aid,synthetic
Ape family eke kenektha medical help one.,medical aid,synthetic
Ape family ek kenekta medical help one.,medical aid,synthetic
Bloood one urgent please.,medical aid,synthetic
Bloodh one urgent please.,medical aid,synthetic
Bloodh onee urgent please.,medical aid,synthetic
Blood one urgnt please.,medical aid,synthetic
Beheth araan enna puluwanda?,medical aid,synthetic
Beheth aaran enna puluwanda?,medical aid,synthetic
Beheth aran enna puluwandaa?,medical aid,synthetic
Beeheth aran enna puluuwanda?,medical aid,synthetic
mge Gedara kenek unconscius wela.,medical aid,synthetic
mge Gedara kenek unconscioous wela.,medical aid,synthetic
mg Gedara kenek unconscious wela.,medical aid,synthetic
mge Gedhara kenek unconscious vela.,medical aid,synthetic
Doctr kenek me paththata onee.,medical aid,synthetic
Doctor kenk me paththata on.,medical aid,synthetic
Dctor kenek me paththaata one.,medical aid,synthetic
Dooctor kenek me paththata one.,medical aid,synthetic
Thuvala wlt treatment one.,medical aid,synthetic
Thuwal wlta treatment one.,medical aid,synthetic
Thuwala wltaa treatment one.,medical aid,synthetic
Thuwaala wlt treatment one.,medical aid,synthetic
Medical caamp eka koheda?,medical aid,synthetic
Medical camp eeka kohedaa?,medical aid,synthetic
Medcal camp eka kohedha?,medical aid,synthetic
Medical camp ek koheda?,medical aid,synthetic
Ape ammata asthma medicine one.,medical aid,synthetic
Apee ammata asthma medicine one.,medical aid,synthetic
Ape ammata asthma medicin one.,medical aid,synthetic
Ape ammata asthma meedicine one.,medical aid,synthetic
Baby kenek sicc wela innwa .,medical aid,synthetic
Baaby kenek sick wela innwa .,medical aid,synthetic
Baby kenek sck wela innva .,medical aid,synthetic
Baby kenek sick wela innw .,medical aid,synthetic
Elderly kenekta hlp onee.,medical aid,synthetic
Elderly kenekta hlp one.,medical aid,synthetic
Eldeerly kenekta help one.,medical aid,synthetic
Elderly kenektaa heelp one.,medical aid,synthetic
Patent kenekta medicine ne.,medical aid,synthetic
Patiient kenekta medicine ne.,medical aid,synthetic
Patient kenekta medicne ne.,medical aid,synthetic
Patient kenekta medicine ne.,medical aid,synthetic
Ikmanatha aambulance ekak one.,medical aid,synthetic
Ikmanatha ambulance ekk one.,medical aid,synthetic
Ikmanata ambulance ecak one.,medical aid,synthetic
Ikmanta ambulance ekak one.,medical aid,synthetic
Ape ptha tuwala wela.,medical aid,synthetic
Ap putha thwala wela.,medical aid,synthetic
Ape putha thuwala vela.,medical aid,synthetic
Ape puutha thuwala weela.,medical aid,synthetic
Medical supporth ekk one pleease.,medical aid,synthetic
Medical suupport ekk one please.,medical aid,synthetic
Medical support ekk oone please.,medical aid,synthetic
Medhical support ekk one please.,medical aid,synthetic
Hospital ekakata yanna help one.,medical aid,synthetic
Hospital ekakatha yanna help onee.,medical aid,synthetic
Hospital ekakata yanna hlp one.,medical aid,synthetic
Hspital ekakata yanna help one.,medical aid,synthetic
Thuwal un aya innawa.,medical aid,synthetic
Thuval una aya iinnawa.,medical aid,synthetic
Thuwal un aya innawa.,medical aid,synthetic
Thuwal unaa aya innawa.,medical aid,synthetic
Ape nangi taa medicin one.,medical aid,synthetic
Apee nangi ta medcine one.,medical aid,synthetic
Ape nngi ta medcine one.,medical aid,synthetic
Ape nangii ta medicine one.,medical aid,synthetic
Sck kenek innawa gedara.,medical aid,synthetic
Siick keenek innawa gedara.,medical aid,synthetic
Siick keenek innawa gedara.,medical aid,synthetic
Sck kenek innawa geedara.,medical aid,synthetic
Doctor kenek contact karannaa one.,medical aid,synthetic
Doctor knek contact karanna one.,medical aid,synthetic
Doctor kenek contact karanna one.,medical aid,synthetic
Doctor kenek coontact karanna on.,medical aid,synthetic
Medicine tikk hoyaganna ba.,medical aid,synthetic
Medhicine tikk hoyaganna ba.,medical aid,synthetic
Medicin tikak hoyaganna ba.,medical aid,synthetic
Medicine tikak hoyaganna ba.,medical aid,synthetic
Mediical emergency eekak.,medical aid,synthetic
Mdical emergenky ekak.,medical aid,synthetic
Medcal emergency ekaak.,medical aid,synthetic
Medical emeergency eekak.,medical aid,synthetic
Pathient kenek stuck wela.,medical aid,synthetic
Patient kenek stuck weela.,medical aid,synthetic
Patient kenek stuck vela.,medical aid,synthetic
Pathient kenek sthuck wela.,medical aid,synthetic
Baby ta medicine one.,medical aid,synthetic
Bby tha medicine one.,medical aid,synthetic
Baby ta mediicine one.,medical aid,synthetic
Baby ta medhicine on.,medical aid,synthetic
Ape thaththa ta pressure medhicine one.,medical aid,synthetic
Ape thaththa ta preessure meedicine one.,medical aid,synthetic
Ape thaththa ta pressure medicne one.,medical aid,synthetic
Ape thththa ta pressure medicine one.,medical aid,synthetic
Loku thwalak nisa hospithal yanna ba.,medical aid,synthetic
Loku thuwalak niisa hospital yanna baa.,medical aid,synthetic
Lok thuwalak nis hospital yanna ba.,medical aid,synthetic
Loku thuwaalak nisaa hospital yanna ba.,medical aid,synthetic
Medical team ekk on me area ekata.,medical aid,synthetic
Medical team ekak one me are ekata.,medical aid,synthetic
Medical team ecak one me area ekata.,medical aid,synthetic
Mdical team ekak one me area ekataa.,medical aid,synthetic
Beheth ganna pharmacy ekata yanna ba.,medical aid,synthetic
Beheth ganna pharmaky ekata yanna baa.,medical aid,synthetic
Beheth gaanna pharmacy ekata yanna ba.,medical aid,synthetic
Beheth ganna pharmacy ekata yann b.,medical aid,synthetic
Patieent kenekta immediate help oone.,medical aid,synthetic
Patent kenekta immedate help one.,medical aid,synthetic
Patient kenekta immediaate help one.,medical aid,synthetic
Ptient kenekta immediate help one.,medical aid,synthetic
Fever thiyeena lami innawa.,medical aid,synthetic
Fever thiyena lamaii innawa.,medical aid,synthetic
Fever tiyena lamai innawa.,medical aid,synthetic
Feveer thiyena lamai innawa.,medical aid,synthetic
Ape family eke sick aya innawa.,medical aid,synthetic
Ape family ekee sick aya innawa.,medical aid,synthetic
Ap famiily eke sick aya innawa.,medical aid,synthetic
Ape family ek sick aya innawa.,medical aid,synthetic
Medcal supplies one please.,medical aid,synthetic
Medical supplies oone please.,medical aid,synthetic
Mdical supplies one pleease.,medical aid,synthetic
Meedical suupplies one please.,medical aid,synthetic
Thuwala walata bandge on.,medical aid,synthetic
Thuwala walata bandag one.,medical aid,synthetic
Thuvala walata bandage on.,medical aid,synthetic
Thuwala wlata bandhage one.,medical aid,synthetic
Doctoor kenekta enna puluwandha?,medical aid,synthetic
Doctr kenekta enna puluwaanda?,medical aid,synthetic
Dooctor kenekta enn puluwanda?,medical aid,synthetic
Doctor kenkta enn puluwanda?,medical aid,synthetic
Meedicine nathi nisa amarui.,medical aid,synthetic
Medicine naathi niisa amarui.,medical aid,synthetic
Medicine nathi nsa aamarui.,medical aid,synthetic
Medicine nathii nisa amarui.,medical aid,synthetic
Ape gedhara patient kenek innawa.,medical aid,synthetic
Ape geedara patient kenek innawa.,medical aid,synthetic
Ape gedara patient kenek innaw.,medical aid,synthetic
Ape gedara patint kenek innawa.,medical aid,synthetic
Ambulancee access eka on.,medical aid,synthetic
Ambulance accss eka one.,medical aid,synthetic
Ambulanke access eka one.,medical aid,synthetic
Ambulance access ekaa one.,medical aid,synthetic
Medical heelp urgently one.,medical aid,synthetic
Medical help urgently one.,medical aid,synthetic
Medhical help urgently one.,medical aid,synthetic
Medhical help urgently one.,medical aid,synthetic
Injured keenek innawa me gedara.,medical aid,synthetic
Injuredh kenek innawa me gedara.,medical aid,synthetic
Injured kenek iinnawa me gedara.,medical aid,synthetic
Injured kenek innawa m gedhara.,medical aid,synthetic
Child kenekta medical help one.,medical aid,synthetic
Child kenekta medhical heelp one.,medical aid,synthetic
Child kenekta medical help onee.,medical aid,synthetic
Child kenektaa medical help one.,medical aid,synthetic
Beheeth iwara wel.,medical aid,synthetic
Beheth iwara welaa.,medical aid,synthetic
Beheth ivara wela.,medical aid,synthetic
Beheth iwaraa wel.,medical aid,synthetic
Ape ammata urgent tratment one.,medical aid,synthetic
Ape ammata urgeent treatment one.,medical aid,synthetic
Ap ammata uurgent treatment one.,medical aid,synthetic
Ap ammata urgent treatment one.,medical aid,synthetic
Thuvala una kenek innawa.,medical aid,synthetic
Thuwaala un kenek innawa.,medical aid,synthetic
Thuwal una kenek iinnawa.,medical aid,synthetic
Thuwala una cenek innawa.,medical aid,synthetic
Hospital transport one.,medical aid,synthetic
Hoospital transport one.,medical aid,synthetic
Hospital transport oone.,medical aid,synthetic
Hospital transport one.,medical aid,synthetic
Medical officer cenek one.,medical aid,synthetic
Medhical offiker kenek one.,medical aid,synthetic
Medical offiker kenek on.,medical aid,synthetic
Meedical officer keneek one.,medical aid,synthetic
Sck patient keenek rescue karanna one.,medical aid,synthetic
Siick patient keneek rescue karanna one.,medical aid,synthetic
Sick ptient kenek rescue karanna one.,medical aid,synthetic
Sck patient kenek rescue karanna on.,medical aid,synthetic
Medicine saha docthor help one.,medical aid,synthetic
Medicine sha doctor help one.,medical aid,synthetic
Medcine saha doctor help one.,medical aid,synthetic
Medicine saaha doctor help on.,medical aid,synthetic
Emergency mediical help denna.,medical aid,synthetic
Emergency medical help dhenna.,medical aid,synthetic
Emeergency medical help denna.,medical aid,synthetic
Emergenky medical help denna.,medical aid,synthetic
Me thanataa ambulance ekak ewanna.,medical aid,synthetic
Mee thanata ambulance ekak ewanna.,medical aid,synthetic
Me thanata ambulanke ekak ewanna.,medical aid,synthetic
Me thanata ambulance ekak ewann.,medical aid,synthetic
Please meedical team ekaak hoyala denna.,medical aid,synthetic
Pleas medical team ekak hoyala denna.,medical aid,synthetic
Please medical tam ekak hoyala denna.,medical aid,synthetic
Please medical theam ekak hooyala denna.,medical aid,synthetic
"Ape gedarata watura gihin, ikmnt apiva beragnn enn .",shelter,synthetic
"Ape gedarta watra gihin, ikmnt apiwa beragnn enn .",shelter,synthetic
"Ape gedarata wathura gihin, ikmnt aapiwa beragnn enn .",shelter,synthetic
"Ape geedarata watura gihin, ikmnt apiwa beragnn enn .",shelter,synthetic
Safe place ekak one plase api yata wel.,shelter,synthetic
Safe place ekak one please api yat wel.,shelter,synthetic
Safe place ekak one please api yata wel.,shelter,synthetic
Safe plce ekak one please api yata wel.,shelter,synthetic
Apit innata tanak ne.,shelter,synthetic
Apiit innata thaanak ne.,shelter,synthetic
Apith innata thanak ne.,shelter,synthetic
Apit innatha tanak ne.,shelter,synthetic
Shelter ecak hoyaganna help one.,shelter,synthetic
Shelter ekaak hoyaganna help one.,shelter,synthetic
Sheltr ekak hoyaganna help one.,shelter,synthetic
Shlter ekak hoyaganna heelp one.,shelter,synthetic
Family ekatha safe plake one.,shelter,synthetic
Family ekata safe place on.,shelter,synthetic
Family ekata saf plake one.,shelter,synthetic
Family ekata safe place oone.,shelter,synthetic
"Lamai ekkaa innawa, shelter oone.",shelter,synthetic
"Lamai ekka innawa, shlter one.",shelter,synthetic
"Lmai ekka innaw, shelter one.",shelter,synthetic
"Lamaai ekka innawa, shelter oone.",shelter,synthetic
Ap gedara dhamage wela.,shelter,synthetic
Ap gedara damage wela.,shelter,synthetic
Ape gedar damage wela.,shelter,synthetic
Ap gedara damage wela.,shelter,synthetic
Safe shelther ekak thiyenawada?,shelter,synthetic
Safe shelter ekk thiyenawad?,shelter,synthetic
Safe shelter ekak thiyenawada?,shelter,synthetic
Safe shlter ekk thiyenawada?,shelter,synthetic
Api evacuate kranna one.,shelter,synthetic
Api evacuathe karaanna one.,shelter,synthetic
Api evacuate karanna onee.,shelter,synthetic
Api evacute karanna one.,shelter,synthetic
Temporary shelter ekak one.,shelter,synthetic
Temporary sheelter ekak one.,shelter,synthetic
Temporary shelter ekak one.,shelter,synthetic
Temporary shelter ekk oone.,shelter,synthetic
Gedara inna ba dan wathura godal avill.,shelter,synthetic
Gedara inna baa dan wathura gdal awill.,shelter,synthetic
Gedara inna b dan wathura godal awill.,shelter,synthetic
Gedaraa inna ba dhan wathura godal awill.,shelter,synthetic
Ape famly ekatha inna place ekak one.,shelter,synthetic
Ape family ekata inna plac ekak one.,shelter,synthetic
Ape family ekata inna place ekaak one.,shelter,synthetic
Ape family ekata inna place ekak on.,shelter,synthetic
Shelter ekaakata yanna help one.,shelter,synthetic
Shlter ekakata yanna help one.,shelter,synthetic
Shelter ekakata yanna heelp one.,shelter,synthetic
Shelter ekakata yannaa help one.,shelter,synthetic
Wessa nsa gedhara innata ba.,shelter,synthetic
Wessa nisa gedara innatha baa.,shelter,synthetic
Wessa nisa gedara innatha ba.,shelter,synthetic
Wessa niisa gedara innata ba.,shelter,synthetic
Sfe building ekk hoyanna one.,shelter,synthetic
Saafe building ekak hoyanna one.,shelter,synthetic
Safe buildhing ekak hoyanna one.,shelter,synthetic
Safe bulding ekak hoyann one.,shelter,synthetic
"Elderly aya ekka innawa, shelther one.",shelter,synthetic
"Elderly aya ekka innawa, sheelter one.",shelter,synthetic
"Elderly aya ekka innaw, shelter oone.",shelter,synthetic
"Elderly aya ekka innaw, shelter one.",shelter,synthetic
"Lamai innawa, safee place onee.",shelter,synthetic
"Lamai innawa, saf place onee.",shelter,synthetic
"Lami innawa, safe place onee.",shelter,synthetic
"Lamai innawa, safe place one.",shelter,synthetic
Ape gedara unsaf vela.,shelter,synthetic
Ape gedar unsafe wla.,shelter,synthetic
