text,category
communication center ekak thiyenawada?,other
injured kenek innawa me gedara.,medical aid
apit dawas dekak kanna na.,food/water
ape nangi ta medicine one.,medical aid
watura ganna widihak ne.,food/water
water bottle ekak wath ne.,food/water
child kenek hoyaganna one.,rescue/missing
shelter ekak open karalada?,shelter
please medical team ekak hoyala denna.,medical aid
me area ekata yanna puluwanda?,other
food supplies one urgently.,food/water
candles tikak one.,other
food ekak aran enna puluwanda?,food/water
shelter ekata family eka aran yanna.,shelter
wessa nisa gedara innata ba.,shelter
baby food one urgent.,food/water
safe drinking water one.,food/water
medical emergency ekak.,medical aid
information ekak hoyaganna one.,other
kids la hungry inne.,food/water
api building roof eke inne.,rescue/missing
api food nathiwa inne.,food/water
tree ekak road eka uda watila.,other
mobile signal hoyaganna ba.,other
shelter ekak hoyaganna help one.,shelter
"lamai innawa, safe place one.",shelter
family ekata safe place one.,shelter
ape seeya missing.,rescue/missing
lamaya school idala awe ne.,rescue/missing
api upakara balaporoththu wenawa.,rescue/missing
gedara roof eka damage wela.,shelter
rescue vehicle ekak one.,rescue/missing
ape family eke sick aya innawa.,medical aid
ape area ekata dry rations one.,food/water
missing child kenek hoyanawa.,rescue/missing
ape gedara food na.,food/water
thuwala walata bandage one.,medical aid
flooded area eke stuck wela.,rescue/missing
safe place ekak hoyala denna.,shelter
"old people innawa, safe place one.",shelter
ape putha hoyaganna one.,rescue/missing
medical team ekak ewanna puluwanda?,medical aid
shelter ekak thiyenawanam kiyanna.,shelter
thuwala una kenek innawa.,medical aid
gas cylinder eka na.,other
missing person kenek hoyanawa.,rescue/missing
ape brother missing wela.,rescue/missing
electricity supply eka nathi wela.,other
ape nangi hoyaganna ba.,rescue/missing
tree tika ain karanna one.,other
battery charge karaganna ba.,other
baby ta medicine one.,medical aid
road clearance help one.,other
gedara athule 5 denek innawa.,rescue/missing
"api stuck wela, help karanna.",rescue/missing
