text,category
"Rice, dhal saha water one.",food/water
Food relief ekak one.,food/water
Water bottles  one please.,food/water
Food stock eka iwara wela.,food/water
Drinking water supply karanna.,food/water
Kids la hungry inne.,food/water
Food and water urgently needed.,food/water
Ape area ekata dry rations one.,food/water
apit Kanna bonna dewal ne.,food/water
Water bottle ekak wath ne.,food/water
Food relief center eka koheda?,food/water
Family ekata dry food one.,food/water
Safe drinking water one.,food/water
Food packets distribute karanawada?,food/water
apit viyali ahara ewnn .,food/water
Watura bonna puluwan ekak one.,food/water
Baby milk saha food one.,food/water
Rice tikak hari ewanna.,food/water
Food supplies tikak one.,food/water
Watura supply eka nawathila.,food/water
ape area ekt viyali ahara ewnn plwnd .,food/water
Food and clean water help one.,food/water
Ape gedara water ne.,food/water
Ikmanata food saha watura one.,food/water
Api gedara athule hira  wela.,rescue/missing
Rescue team ekak ewanna please.,rescue/missing
Ape family eka stuck wela.,rescue/missing
Kenek missing wela.,rescue/missing
Ape nangi hoyaganna ba.,rescue/missing
Rescue help urgently one.,rescue/missing
Gedara athule aya innawa.,rescue/missing
Boat ekak one me area ekata.,rescue/missing
Ape thaththa missing.,rescue/missing
Lamayek hoyaganna help ekk  one.,rescue/missing
Apit  eliyata enna ba.,rescue/missing
Rescue team eka me paththe enawada?,rescue/missing
Flood water nisa stuck wela.,rescue/missing
Family membersla  dennek missing.,rescue/missing
Ape putha hoyaganna one.,rescue/missing
Gedara athule wayasaka kenek innawa.,rescue/missing
Please rescue karanna.,rescue/missing
Api roof eke inne.,rescue/missing
"Watura godak wedi, rescue one.",rescue/missing
Missing person kenek hoyanawa.,rescue/missing
Ape amma hoy gnn ba.,rescue/missing
Child kenek hoyaganna one.,rescue/missing
Rescue boat ekak one.,rescue/missing
"Api stuck wela, help karanna.",rescue/missing
Family eka contact karanna ba.,rescue/missing
Kenek watura gihin missing.,rescue/missing
Rescue team ekak ikmanata one.,rescue/missing
Ape gedara aya trapped wela.,rescue/missing
Missing kenek gena information thiyenawada?,rescue/missing
Api building eke hira wela inne.,rescue/missing
Child kenek missing.,rescue/missing
Elderly person kenek missing.,rescue/missing
Please help us get out.,rescue/missing
Ape family members trapped wela.,rescue/missing
Rescue vehicle ekak one.,rescue/missing
Flooded area eke stuck wela.,rescue/missing
Gedara athule 5 denek innawa.,rescue/missing
Kenek hoyaganna ba dan.,rescue/missing
Rescue assistance one urgently.,rescue/missing
Api upakara balaporoththu wenawa.,rescue/missing
Missing person report karanna one.,rescue/missing
Ape brother missing wela.,rescue/missing
Lamaya school idala awe ne.,rescue/missing
Api water athule hira wel .,rescue/missing
Rescue boat ekak ewanna.,rescue/missing
Gedara athule aya beragnn udau krnna .,rescue/missing
Missing person kenek hoyanawa.,rescue/missing
Api evacuate karanna one.,rescue/missing
Flood eka nisa trapped wela.,rescue/missing
Ape seeya missing.,rescue/missing
Please send rescue team.,rescue/missing
Family eka athule trapped.,rescue/missing
Kenek waturat gahagen gihin.,rescue/missing
Ape nangi thama awe na.,rescue/missing
Rescue help denna puluwanda?,rescue/missing
Api building roof eke inne.,rescue/missing
Missing child kenek hoyanawa.,rescue/missing
Me area eke rescue team ekak one.,rescue/missing
Ikmanata help  karanna please.,rescue/missing
Ape family eka trapped wela inne.,rescue/missing
Current eka ne me area eke.,other
Electricity supply eka nathi wela.,other
Ape phone charge karanna ba.,other
Road eka block wela.,other
Main road eka waturat yata wel.,other
Transport help one.,other
Phone signal ne.,other
Network eka wada karanne ne.,other
Generator ekak thiyenawada?,other
Battery charge karaganna ba.,other
Road eka break wela.,other
Bridge eka damage wela.,other
Me area ekata yanna puluwanda?,other
Current eka ikmanata denna.,other
Mobile signal hoyaganna ba.,other
Phone battery low.,other
Transport ekak one.,other
Road eka open da?,other
Gas cylinder eka na.,other
Cooking karanna ba.,other
Petrol hoyaganna ba.,other
Fuel tikak one.,other
Generator ekt fuel one.,other
Ape vehicle eka stuck wela.,other
Road clearance help one.,other
Tree ekak road eka uda watila.,other
Internet connection ne.,other
Communication problem ekak thiyenawa.,other
Phone charge karaganna place ekak one.,other
Current eka thiyenne ne.,other
Water pump eka wada ne.,other
House eka clean karanna help one.,other
Watura ain karanna help one.,other
Roads tika clean karanna one.,other
Damaged house ekak repair karanna help one.,other
Building eka inspect karanna one.,other
Electricity wires watila.,other
Me paththa dangerous da?,other
Road condition eka dannawada?,other
Bus service thiyenawada?,other
Vehicle ekak aran yanna one.,other
Fuel station open da?,other
Phone network eka kawada enawada?,other
Current wires walin ath wela inna.,other
Tree tika ain karanna one.,other
Road eka clear karanna help one.,other
Communication center ekak thiyenawada?,other
Charging station ekak one.,other
Flashlight ekak one.,other
Torch batteries one.,other
Candles tikak one.,other
Cooking gas one.,other
Clothes tikak one.,other
Baby clothes one.,other
Blankets tikak one.,other
Sanitary items one.,other
General supplies tikak one.,other
Information ekak hoyaganna one.,other
Me area eke situation eka kohomada?,other
Please me thanata help ekak denna.,other
