text,category,source
watura ganna widihak ne.,food/water,original
water bottle ekak wath ne.,food/water,original
child kenek hoyaganna one.,rescue/missing,original
shelter ekak open karalada?,shelter,original
please medical team ekak hoyala denna.,medical aid,original
me area ekata yanna puluwanda?,other,original
food supplies one urgently.,food/water,original
candles tikak one.,other,original
food ekak aran enna puluwanda?,food/water,original
shelter ekata family eka aran yanna.,shelter,original
wessa nisa gedara innata ba.,shelter,original
baby food one urgent.,food/water,original
safe drinking water one.,food/water,original
medical emergency ekak.,medical aid,original
information ekak hoyaganna one.,other,original
kids la hungry inne.,food/water,original
api building roof eke inne.,rescue/missing,original
api food nathiwa inne.,food/water,original
tree ekak road eka uda watila.,other,original
mobile signal hoyaganna ba.,other,original
shelter ekak hoyaganna help one.,shelter,original
"lamai innawa, safe place one.",shelter,original
family ekata safe place one.,shelter,original
ape seeya missing.,rescue/missing,original
lamaya school idala awe ne.,rescue/missing,original
api upakara balaporoththu wenawa.,rescue/missing,original
gedara roof eka damage wela.,shelter,original
rescue vehicle ekak one.,rescue/missing,original
ape family eke sick aya innawa.,medical aid,original
ape area ekata dry rations one.,food/water,original
missing child kenek hoyanawa.,rescue/missing,original
ape gedara food na.,food/water,original
thuwala walata bandage one.,medical aid,original
flooded area eke stuck wela.,rescue/missing,original
safe place ekak hoyala denna.,shelter,original
"old people innawa, safe place one.",shelter,original
ape putha hoyaganna one.,rescue/missing,original
medical team ekak ewanna puluwanda?,medical aid,original
shelter ekak thiyenawanam kiyanna.,shelter,original
thuwala una kenek innawa.,medical aid,original
gas cylinder eka na.,other,original
missing person kenek hoyanawa.,rescue/missing,original
ape brother missing wela.,rescue/missing,original
electricity supply eka nathi wela.,other,original
ape nangi hoyaganna ba.,rescue/missing,original
tree tika ain karanna one.,other,original
battery charge karaganna ba.,other,original
baby ta medicine one.,medical aid,original
road clearance help one.,other,original
gedara athule 5 denek innawa.,rescue/missing,original
"api stuck wela, help karanna.",rescue/missing,original
"watura godk wedi, rescuee one.",rescue/missing,synthetic
"watura godak wedi, resce onee.",rescue/missing,synthetic
"wathura godak weedi, rescue one.",rescue/missing,synthetic
"watura godak wedhi, reskue one.",rescue/missing,synthetic
ape gedara damage wel.,shelter,synthetic
aape gedara damage wela.,shelter,synthetic
ap gedara damage wela.,shelter,synthetic
ape gedaraa damage wela.,shelter,synthetic
ape amma hoy gnn ba.,rescue/missing,synthetic
ape amma hoy gnn ba.,rescue/missing,synthetic
ape amma hooy gnn ba.,rescue/missing,synthetic
ape amma hoy gnn ba.,rescue/missing,synthetic
ape putha tuwala wela.,medical aid,synthetic
ape putha thuwala welaa.,medical aid,synthetic
ape puutha tuwala wela.,medical aid,synthetic
ape putha thuwala wla.,medical aid,synthetic
safe accommodation one pleas.,shelter,synthetic
safe accommodathion one please.,shelter,synthetic
safe accommodation on please.,shelter,synthetic
safe accommodaation one please.,shelter,synthetic
medhicine tkak hoyaganna ba.,medical aid,synthetic
medicine tikak hoyganna ba.,medical aid,synthetic
mdicine tkak hoyaganna ba.,medical aid,synthetic
medhicine tikak hoyaganna ba.,medical aid,synthetic
urgeently safe place ekk one.,shelter,synthetic
urgntly safe place ekk one.,shelter,synthetic
urgently safe place ekk on.,shelter,synthetic
uurgently safe place ekk one.,shelter,synthetic
fuel station open daa?,other,synthetic
fuel station opn da?,other,synthetic
fuel station open daa?,other,synthetic
fel station open daa?,other,synthetic
foood relief center eca koheda?,food/water,synthetic
foood relief centher eka koheda?,food/water,synthetic
food relief centr eka koheda?,food/water,synthetic
foodh relief center eka koheda?,food/water,synthetic
watura bttle tikaak one.,food/water,synthetic
watura bottle thikak one.,food/water,synthetic
watura bothtle tikak one.,food/water,synthetic
watura bottl tiikak one.,food/water,synthetic
medhicine nathi nisa amarui.,medical aid,synthetic
medicinee nathi nisa amarui.,medical aid,synthetic
mdicine nathi nisa amarui.,medical aid,synthetic
medicine nathii nisa amaru.,medical aid,synthetic
water tank eka damage vela.,food/water,synthetic
water tank eeka damage wela.,food/water,synthetic
water tank eka damge wela.,food/water,synthetic
water tank eca damage wela.,food/water,synthetic
elderly kenekta help one.,medical aid,synthetic
eldeerly kenekta help one.,medical aid,synthetic
elderly keenekta help one.,medical aid,synthetic
elderly kenektha help one.,medical aid,synthetic
ap family eka homeless wel.,shelter,synthetic
ape family eka homeless wel.,shelter,synthetic
ape fmily eka homeless wela.,shelter,synthetic
ape famly eka homeless wel.,shelter,synthetic
food and clean wather help one.,food/water,synthetic
food and clen water help one.,food/water,synthetic
food and clean water help on.,food/water,synthetic
food aand clean water help one.,food/water,synthetic
pleease me thanata help ekak denna.,other,synthetic
please me tanata help ekak denna.,other,synthetic
pleasee me thanat help ekak denna.,other,synthetic
please me thanaata help ekak denna.,other,synthetic
min road eka waturat yatha wel.,other,synthetic
main roaad eka wathurat yata wel.,other,synthetic
main roadh eca waturat yata wel.,other,synthetic
main roaad eka waturat yata wel.,other,synthetic
ape gedara patient kenek innava.,medical aid,synthetic
ape gedara patient kenek innava.,medical aid,synthetic
ape gedara ptient kenek innawa.,medical aid,synthetic
ape gedara pathient kenek innawa.,medical aid,synthetic
gedara watura purila.,shelter,synthetic
gedaara watura purila.,shelter,synthetic
gedaara watura purila.,shelter,synthetic
gedara wathura purila.,shelter,synthetic
ape area ek inn arakshitha thanak ne.,shelter,synthetic
ape area eke inn arakshith thanaak ne.,shelter,synthetic
ape area eke inn arakshitha thanak ne.,shelter,synthetic
ape area ece inn arakshitha thanak ne.,shelter,synthetic
tempoorary shelter ekak one.,shelter,synthetic
temporary shelther ekak on.,shelter,synthetic
teemporary shelter ekak one.,shelter,synthetic
temporary shelter ekak on.,shelter,synthetic
pathient kenektha medicine ne.,medical aid,synthetic
patient kenekta medcine n.,medical aid,synthetic
patient kenekta meedicine ne.,medical aid,synthetic
ptient kenekta medicine n.,medical aid,synthetic
knek hoyaganna baa dan.,rescue/missing,synthetic
cenek hoyaganna ba dn.,rescue/missing,synthetic
cenek hoyaganna ba dan.,rescue/missing,synthetic
keenek hoyaganna ba dan.,rescue/missing,synthetic
baaby cenek sick wela innwa .,medical aid,synthetic
baby kenek sick wela innwa .,medical aid,synthetic
baby kenek sick wela innwaa .,medical aid,synthetic
baby kenek siick wela innwa .,medical aid,synthetic
rooad eka block wela.,other,synthetic
roadh eka block weela.,other,synthetic
road eka block welaa.,other,synthetic
road eca block wela.,other,synthetic
please send rescue tem.,rescue/missing,synthetic
please seend rscue team.,rescue/missing,synthetic
please send rescue theam.,rescue/missing,synthetic
please send rescuee theam.,rescue/missing,synthetic
api roof ece inne.,rescue/missing,synthetic
api roof eeke inne.,rescue/missing,synthetic
api rooof eke inne.,rescue/missing,synthetic
api roof eeke inne.,rescue/missing,synthetic
road eka break wla.,other,synthetic
road eeka brek wela.,other,synthetic
roaad eka breac wela.,other,synthetic
road eeka break wela.,other,synthetic
ambulance ecak ewanna pleasee.,medical aid,synthetic
ambulance ekaak ewanna pleasee.,medical aid,synthetic
ambulance ekaak ewanna please.,medical aid,synthetic
ambulance ekak ewanna plese.,medical aid,synthetic
aapit kanna bonna dewal ne.,food/water,synthetic
apit kanna bonna dhewal ne.,food/water,synthetic
apt kanna bonna dewal ne.,food/water,synthetic
apit knna bonna dewal ne.,food/water,synthetic
aape gedara athuule danger.,shelter,synthetic
aape gedara atule danger.,shelter,synthetic
aape gedara athule dhanger.,shelter,synthetic
ape gedara athule dhanger.,shelter,synthetic
coooking karanna ba.,other,synthetic
cooking kranna ba.,other,synthetic
cooking karann baa.,other,synthetic
coking karanna ba.,other,synthetic
road ek open da?,other,synthetic
rod ek open da?,other,synthetic
road eeka open da?,other,synthetic
road eeka open d?,other,synthetic
kenek watuurat gahagen gihin.,rescue/missing,synthetic
kenek waturat gahaagen ghin.,rescue/missing,synthetic
kenek waturat gahagen ghin.,rescue/missing,synthetic
kenek waturat gahaagen gihin.,rescue/missing,synthetic
rescue boat ekk on.,rescue/missing,synthetic
rescuue boat ekak onee.,rescue/missing,synthetic
rescue booat ekak on.,rescue/missing,synthetic
rscue boat ekak one.,rescue/missing,synthetic
cloothes tikak one.,other,synthetic
clothes thikak on.,other,synthetic
clothees tikk one.,other,synthetic
clothes thikak one.,other,synthetic
safe room ecak on.,shelter,synthetic
safe room ecak one.,shelter,synthetic
safe room ekak one.,shelter,synthetic
safe room ekaak one.,shelter,synthetic
"rice, dhal saha watr oone.",food/water,synthetic
"rike, dhal saha waater one.",food/water,synthetic
"rice, dhl saha water on.",food/water,synthetic
"rice, dhal saha water one.",food/water,synthetic
clean wter one please.,food/water,synthetic
clean water one pleaase.,food/water,synthetic
clean wateer one please.,food/water,synthetic
clean wter oone please.,food/water,synthetic
petrol hoyagannaa ba.,other,synthetic
petrol hyaganna b.,other,synthetic
ptrol hoyaganna ba.,other,synthetic
petrol hoyagaanna ba.,other,synthetic
ptient kenekta immediate hlp one.,medical aid,synthetic
patient kenekta immediat help one.,medical aid,synthetic
patient kenekta immediate help one.,medical aid,synthetic
patient kenekt immediate help one.,medical aid,synthetic
current eka ne me are eke.,other,synthetic
curreent eka ne me area eeke.,other,synthetic
current eka ne me aarea eke.,other,synthetic
cuurrent eka ne me area eke.,other,synthetic
apith arakshitha thankt yanna one.,shelter,synthetic
apit arakshita thankt yann one.,shelter,synthetic
apit arakshita thankt yanna one.,shelter,synthetic
apt arkshitha thankt yanna one.,shelter,synthetic
trch batteries onee.,other,synthetic
torch baatteries one.,other,synthetic
torch batteres one.,other,synthetic
toorch batteries one.,other,synthetic
ape gedara unsaf welaa.,shelter,synthetic
ape gedara unsfe welaa.,shelter,synthetic
ape gedara unsafe wela.,shelter,synthetic
apee gedara unsafe vela.,shelter,synthetic
me thanata ambulaance ekak ewanna.,medical aid,synthetic
me thanata aambulance ekak ewanna.,medical aid,synthetic
me thanata ambulanc ekak ewanna.,medical aid,synthetic
me thanaata ambulance ekk ewanna.,medical aid,synthetic
ape family ekata inna place ekk one.,shelter,synthetic
ape family ekata innaa place ekak one.,shelter,synthetic
ape family ekata inna plaace ekak one.,shelter,synthetic
ap family ekata inna place ekak one.,shelter,synthetic
phone charge karaganna plce ekak one.,other,synthetic
phone charge karaganna plake ekak on.,other,synthetic
phone kharge karaganna place ekak oone.,other,synthetic
phone charge caraganna plac ekak one.,other,synthetic
watura supply ekaa nawathila.,food/water,synthetic
watura spply ek nawathila.,food/water,synthetic
wathura supply eka nawathila.,food/water,synthetic
watuura supply eka nawathila.,food/water,synthetic
doctor kenk me paththaata one.,medical aid,synthetic
doctoor kenek me paththata one.,medical aid,synthetic
doctr kenek me paththata one.,medical aid,synthetic
doctor keenek me paththata one.,medical aid,synthetic
medical team ekak one me ara ekata.,medical aid,synthetic
medical team ecak one me area ekat.,medical aid,synthetic
medical team ekk one me area ekatha.,medical aid,synthetic
medical team ecak one me area ekata.,medical aid,synthetic
food one please.,food/water,synthetic
food one please.,food/water,synthetic
foood one pleasee.,food/water,synthetic
food on plese.,food/water,synthetic
geedara thiyeenna ba.,shelter,synthetic
geedara thyenna ba.,shelter,synthetic
gedara thiiyenna ba.,shelter,synthetic
gedara thiyenna baa.,shelter,synthetic
apit wiyali ahara ewnn .,food/water,synthetic
apit viyali ahara ewnn .,food/water,synthetic
apit viyli ahara ewnn .,food/water,synthetic
apit viyalii ahara ewnn .,food/water,synthetic
kamaa oocm tika iwara wela.,food/water,synthetic
cama ookm tika iwara wela.,food/water,synthetic
kaama ookm tika iwara weela.,food/water,synthetic
kamaa ookm tika iwara wel.,food/water,synthetic
clean wateer available da?,food/water,synthetic
clean waater available daa?,food/water,synthetic
klean water availble da?,food/water,synthetic
clean water awailable da?,food/water,synthetic
mgee gedara knek unconscious wela.,medical aid,synthetic
mge gedhara kenek unkonscious wela.,medical aid,synthetic
mgee gedara kenek unconscious wela.,medical aid,synthetic
mg gedara kenek unconscious wel.,medical aid,synthetic
emergency mediical help deenna.,medical aid,synthetic
emergency medical help dhenna.,medical aid,synthetic
emergency medcal help dhenna.,medical aid,synthetic
emergency medcal hlp denna.,medical aid,synthetic
aape nangi thama awe na.,rescue/missing,synthetic
ape nang thama awe na.,rescue/missing,synthetic
ape nangi tham awe na.,rescue/missing,synthetic
ape nangi thama awe na.,rescue/missing,synthetic
ape phone charge caranna ba.,other,synthetic
ape phne charge karanna ba.,other,synthetic
ape phone kharge karanna ba.,other,synthetic
apee phone charge karanna ba.,other,synthetic
blod one urgnt please.,medical aid,synthetic
bloood one urgent pleasee.,medical aid,synthetic
blood one urgent please.,medical aid,synthetic
blood on urgnt please.,medical aid,synthetic
roadh eka clear karanna help one.,other,synthetic
rooad eka clear karanna help one.,other,synthetic
road eka cleear karanna help one.,other,synthetic
road eka cler karanna help one.,other,synthetic
raain eka nisa shelter one.,shelter,synthetic
rain eka nisa shlter one.,shelter,synthetic
rain eka nisa sheelter on.,shelter,synthetic
raiin eka nisaa shelter one.,shelter,synthetic
me ara eke reskue team ekak one.,rescue/missing,synthetic
me area eke rescue team ekak on.,rescue/missing,synthetic
m area eke rescue team ekak one.,rescue/missing,synthetic
me are eke rescue team ekak one.,rescue/missing,synthetic
phone network eka kawada enawda?,other,synthetic
phone nethwork eka kawada enawada?,other,synthetic
phone nethwork eka kawada enawada?,other,synthetic
phne network ek kawada enawada?,other,synthetic
gedara athule wayasaka keneek innawa.,rescue/missing,synthetic
gedara athule wayasaka cenek iinnawa.,rescue/missing,synthetic
gedara athule wayasak kenek innawa.,rescue/missing,synthetic
gdara athule wayasaka kenek innwa.,rescue/missing,synthetic
drinking watr supply karanna.,food/water,synthetic
dhrinking water supply karanna.,food/water,synthetic
drinkiing water supply karanna.,food/water,synthetic
dhrinking water supply karanna.,food/water,synthetic
flood ek nsa trapped wela.,rescue/missing,synthetic
flood eka nisa trapped wela.,rescue/missing,synthetic
floood eka nisa trapped wela.,rescue/missing,synthetic
flood ek nisa trappeed wela.,rescue/missing,synthetic
rescu team ekak ewanna pleas.,rescue/missing,synthetic
rscue tem ekak ewanna please.,rescue/missing,synthetic
rescue team ekk ewannaa please.,rescue/missing,synthetic
rescue team ekak evanna please.,rescue/missing,synthetic
transport ekak one.,other,synthetic
transport ekk one.,other,synthetic
trnsport ecak one.,other,synthetic
traansport ekak one.,other,synthetic
baaby clothes one.,other,synthetic
baby clothes one.,other,synthetic
baby cloths oone.,other,synthetic
baby clothes on.,other,synthetic
drinking water nathiwa iinne.,food/water,synthetic
driinking water natiwa inne.,food/water,synthetic
drinking water natiwa inne.,food/water,synthetic
drinking water natiwa inne.,food/water,synthetic
lamayata fever thiyeenawa.,medical aid,synthetic
lamyata fever thiyenawa.,medical aid,synthetic
lamayata feveer thiynawa.,medical aid,synthetic
lamayaata fver thiyenawa.,medical aid,synthetic
dooctor kenek ikmanata one.,medical aid,synthetic
doctor cenek ikmanata one.,medical aid,synthetic
doctor kenek ikmanat one.,medical aid,synthetic
doctor kenek ikmanat one.,medical aid,synthetic
gedara athule aya beragnn udau krnn .,rescue/missing,synthetic
geedara athule aya beragnn udau krnna .,rescue/missing,synthetic
gedara athule ayaa beragnn udhau krnna .,rescue/missing,synthetic
gedaraa athule aya beragnn udauu krnna .,rescue/missing,synthetic
arakshithaa kandaurat ynna transport one.,shelter,synthetic
arakshitha kandaurat ynnaa transport on.,shelter,synthetic
arakshitha kandaurat ynna thransport one.,shelter,synthetic
arakshitha kandaurat ynna transpoort one.,shelter,synthetic
drinking wter hoyaganna b.,food/water,synthetic
driinking wather hoyaganna ba.,food/water,synthetic
drinking water hoyaganna baa.,food/water,synthetic
drinking wateer hoyaganna ba.,food/water,synthetic
medical officer kenek oone.,medical aid,synthetic
mdical officer cenek one.,medical aid,synthetic
medical officeer kenek on.,medical aid,synthetic
medhical officer kenek one.,medical aid,synthetic
hospital trnsport one.,medical aid,synthetic
hosptal transport on.,medical aid,synthetic
hospital transpoort one.,medical aid,synthetic
hospital trnsport one.,medical aid,synthetic
api dan shelter ekak hoyanawa.,shelter,synthetic
api daan shelter ecak hoyanawa.,shelter,synthetic
aapi dan shelter ekak hoyanawa.,shelter,synthetic
apii dan shelter ekak hooyanawa.,shelter,synthetic
family 6 denektaa shelter one.,shelter,synthetic
family 6 denekta shelter one.,shelter,synthetic
family 6 denekta shelter on.,shelter,synthetic
family 6 denekta shelter one.,shelter,synthetic
rescue boat ekak ewann.,rescue/missing,synthetic
rescue bat ekak ewanna.,rescue/missing,synthetic
rescue boat ekaak ewaanna.,rescue/missing,synthetic
rescue boat ekak ewann.,rescue/missing,synthetic
api evacuathe karanna one.,rescue/missing,synthetic
api evacuaate karanna one.,rescue/missing,synthetic
api evacuat karanna one.,rescue/missing,synthetic
ap evacuate karnna one.,rescue/missing,synthetic
patient kenek stck wela.,medical aid,synthetic
patient knek sthuck wela.,medical aid,synthetic
paatient cenek stuck wela.,medical aid,synthetic
patient keneek stuck wela.,medical aid,synthetic
safe place ekakata yanna help karannaa.,shelter,synthetic
safe place eekakata yanna help karanna.,shelter,synthetic
safe place ekakatha yanna help karanna.,shelter,synthetic
safe plake ekakata yanna help karanna.,shelter,synthetic
sick patient kenek resce karanna on.,medical aid,synthetic
sck patient kenek reskue karanna one.,medical aid,synthetic
sick patient kenek rescue karanna on.,medical aid,synthetic
sick patient cenek rescue karanna onee.,medical aid,synthetic
rescue tam eca me paththe enawada?,rescue/missing,synthetic
rescue teaam eka me paththe enawada?,rescue/missing,synthetic
rescue team eca me paththe enawadha?,rescue/missing,synthetic
reskue team eka me pathth enawada?,rescue/missing,synthetic
ape taththa missing.,rescue/missing,synthetic
ape taththa missiing.,rescue/missing,synthetic
ape thththa miissing.,rescue/missing,synthetic
ape thththa missing.,rescue/missing,synthetic
me area eke situation eka kohomada?,other,synthetic
me aarea eke situation eca kohomada?,other,synthetic
me area eke situation eka kohomada?,other,synthetic
me area ek situation eka kohomada?,other,synthetic
transport hlp oone.,other,synthetic
transport heelp one.,other,synthetic
transpoort help one.,other,synthetic
transport heelp one.,other,synthetic
aape house eka collapse wenna vage.,shelter,synthetic
ape house eka collapse wnna wage.,shelter,synthetic
ape house eka collapse wenna wage.,shelter,synthetic
ape house eca collapse wennaa wage.,shelter,synthetic
mge amma ta amarui .ambulance ekk ewnn pleease.,medical aid,synthetic
mge amma ta amarui .ambulance ekk evnn please.,medical aid,synthetic
mge amma ta amaru .ambulanke ekk ewnn please.,medical aid,synthetic
mge amma ta amarui .ambulance ekk ewnn please.,medical aid,synthetic
current eka tiyenne ne.,other,synthetic
crrent eka tiyenne ne.,other,synthetic
current eca thiyenne ne.,other,synthetic
current eka tiyenne ne.,other,synthetic
lamayk hoyagann help ekk one.,rescue/missing,synthetic
lamayek hoyaaganna help ekk one.,rescue/missing,synthetic
lamayek hoyaganna help ekk one.,rescue/missing,synthetic
lamayek hoyaganna help eekk one.,rescue/missing,synthetic
current ek ikmanata dhenna.,other,synthetic
currenth eka ikmanata denn.,other,synthetic
current eka ikmanata dnna.,other,synthetic
current eca ikmanata denna.,other,synthetic
safe shelter ekk tiyenawada?,shelter,synthetic
safe shlter ekak thiyenawada?,shelter,synthetic
safe shelteer ekak thiyenawada?,shelter,synthetic
safe shelter ekak tiyenawada?,shelter,synthetic
missing knek gena informatin thiyenawada?,rescue/missing,synthetic
missing kenek gen informathion thiyenawada?,rescue/missing,synthetic
missing knek gen information thiyenawada?,rescue/missing,synthetic
missing kenek gena informaation tiyenawada?,rescue/missing,synthetic
tuwal una ay innawa.,medical aid,synthetic
thuwal una aya innava.,medical aid,synthetic
thuwal una aya innawaa.,medical aid,synthetic
thuwal un aya innawa.,medical aid,synthetic
buuilding eka inspecth karanna one.,other,synthetic
bilding eka inspct karanna one.,other,synthetic
buuilding eka inspect caranna one.,other,synthetic
building ekaa inspect caranna one.,other,synthetic
shelther ekak denna puluwandaa?,shelter,synthetic
shelter ekak denna puluwaanda?,shelter,synthetic
sheelter ekak denna puluwanda?,shelter,synthetic
shlter ekaak denna puluwanda?,shelter,synthetic
beheth ganna pharmacy ekata yanna ba.,medical aid,synthetic
beheth gnna pharmacy ekata yanna ba.,medical aid,synthetic
beheth ganna pharmacy ekata yanna baa.,medical aid,synthetic
beheth ganna phaarmacy ekata yanna ba.,medical aid,synthetic
phone battery low.,other,synthetic
phonee battery low.,other,synthetic
phone battery lov.,other,synthetic
phone battery lw.,other,synthetic
house eka clean karannaa help one.,other,synthetic
house eca clean karanna help one.,other,synthetic
house eka clean karnna help one.,other,synthetic
house eka cleean karanna help one.,other,synthetic
baby milk saha food oone.,food/water,synthetic
baby miilk saha foood one.,food/water,synthetic
baby milk sah food one.,food/water,synthetic
baby milk saha food on.,food/water,synthetic
santary items one.,other,synthetic
sanitry items one.,other,synthetic
sanitry items one.,other,synthetic
sanitary items on.,other,synthetic
ikmanta ambulanke ekak one.,medical aid,synthetic
ikmanat ambulance ekak onee.,medical aid,synthetic
ikmnata ambulance ekak onee.,medical aid,synthetic
ikmnata ambulance ekak one.,medical aid,synthetic
drinking water urgently on.,food/water,synthetic
driinking water urgntly one.,food/water,synthetic
drinking water urgently oone.,food/water,synthetic
driinking water urgently one.,food/water,synthetic
riice saha water one.,food/water,synthetic
rice saha water one.,food/water,synthetic
ricee saha water one.,food/water,synthetic
ric sha water one.,food/water,synthetic
api dan safe place ekak hoyanava.,shelter,synthetic
api dan safe plce ekak hyanawa.,shelter,synthetic
api daan safe placee ekak hoyanawa.,shelter,synthetic
api dan safe place ekak hoyanava.,shelter,synthetic
"patint kenk innawa, medical help one.",medical aid,synthetic
"patient kenek iinnawa, medical help one.",medical aid,synthetic
"patient kenek innawa, medicl help one.",medical aid,synthetic
"patient kenek innawa, medical help one.",medical aid,synthetic
canna deyak ne me gedara.,food/water,synthetic
kann deyak ne me gedara.,food/water,synthetic
kanna dheyak ne me gedara.,food/water,synthetic
